车辆,Crisp速度扰动放大系数G,Fuzzy_G下界,Fuzzy_G上界,Crisp加速度标准差,Fuzzy加速度标准差下界,Fuzzy加速度标准差上界
跟驰车1,0.8853902374160993,0.8369087357381367,0.9232892733445831,0.25054259625985514,0.2369826928474706,0.26129612185904255
跟驰车2,0.7849845707001235,0.7035415585317923,0.852994193164717,0.22221525852154,0.19941857901814755,0.24160150914478293
跟驰车3,0.6965479289570992,0.5927095911676399,0.7883373966933424,0.19724860450841702,0.1681108792170666,0.2235058236683383
跟驰车4,0.6184101572572047,0.5000385639785188,0.7287432502607718,0.17518926827960113,0.14190241134654552,0.206799872882818
跟驰车5,0.5492736140688876,0.42246297914308795,0.6737690888988563,0.1556757670879098,0.11988690938035305,0.19137266758052046
